"";"OBJECTID";"GEMEINDE_ID";"dom.min";"dom.mean";"dom.sd";"dom.max";"n_outliers";"aspect.N";"aspect.NO";"aspect.O";"aspect.SO";"aspect.S";"aspect.SW";"aspect.W";"aspect.NW";"flat";"inclined";"eign.nicht";"eign.wenig_2040";"eign.wenig_2020";"eign.geeignet";"eign.gut";"eign.sehr_gut";"glo_eign.nicht";"glo_eign.wenig_2040";"glo_eign.wenig_2020";"glo_eign.geeignet";"glo_eign.gut";"glo_eign.sehr_gut";"ertrag_PV";"ertrag_ST"
"3400";2313903;50101;422,997924804688;425,659140450614;0,726108965221893;426,782165527344;1;12,5745187740661;27,0941002960016;1,55890767860577;2,8072961729482;3,84621465063285;NA;2,63792631602873;8,78026800228597;1,011770457434;58,2874614331353;8,84851280068663;2,59599990668872;10,2081409521702;31,7328444809394;NA;5,91373375008437;3994,40849301566;1469,3211901254;7908,30875312116;29016,4018384992;NA;7101,69725709168;186,866129401704;404,001122709005
"3401";2313904;50101;430,855560302734;433,282198639257;1,11010513205842;436,407287597656;0;21,0044606304062;30,5027249013079;81,8486175521775;157,71377958635;13,345898716927;9,41313452440213;74,2988653781893;153,09482120524;28,3402456725604;512,882056822439;22,8771146272466;34,6370355262121;94,8959065386075;201,564082126325;141,867247355717;45,3809163208906;11052,5124952431;22008,9566150043;76258,1634865732;183771,930828937;154035,812896591;53702,21959349;207,821705880836;448,1696607748
"3402";2313905;50101;504,205474853516;511,026355064079;3,25423553638472;517,084228515625;0;42,3781368786552;95,6527102552306;60,9913631632125;58,8715704727551;51,1601275720984;49,3868252749982;29,3638540953659;74,2945981197501;43,1073664127469;418,991819419319;88,7256529421435;75,3872350578317;76,7884631701995;81,3068170732169;89,6218171423138;50,2692004463605;36042,7638932288;48479,5255897202;58569,9945062773;74192,079844815;94713,683559073;62017,4430757466;315,721149918008;683,13331592486
"3403";2313906;50101;423,346160888672;425,753918816062;0,796206245188373;426,980377197266;1;2,50547408859071;5,20304335254521;2,5782727288207;7,21615448127813;1,26640994568114;1,29995932015702;1,21914070017328;3,8467703807381;NA;25,1352249979843;2,86296272433303;7,50640939157885;1,18591570596214;3,79741342899397;4,54350912749371;5,23901461962259;1399,98877219885;4708,73624469764;960,591721829334;3632,69102412286;4983,87324783553;6378,746213329;240,441104716368;519,167699388546
"3404";2313908;50101;428,260192871094;429,525834925034;0,64428328012309;431,639404296875;0;17,8246764499954;34,7921100060012;33,1762143346188;33,6245580059485;8,06429683661374;12,9593692668874;25,4865970178212;21,5324052423785;2,00501774974174;185,455209410523;NA;30,5751490328593;11,7483680052752;43,5080179726334;41,8028249609125;59,8258671885843;NA;18898,8125310688;9095,72781225597;40330,6501187847;45547,9760711909;71956,6301583091;253,837852786719;546,558225563557
"3405";2313909;50101;429,350799560547;438,753846828754;1,52296931721932;441,946166992188;7;76,6455328770865;55,7780242991626;43,3594732791271;20,7746634431258;56,5793664671081;30,6177904924503;72,46184504375;28,6625608766173;18,0985807080524;366,780676070375;147,689538194336;62,359783913716;51,495560241828;40,982127520195;53,5434424335691;28,8088044747834;44717,9131879245;39234,0860875207;39422,8212842973;37508,0065242683;56841,7474119033;35442,7583097774;223,626434645569;486,860255395561
"3406";2313910;50101;456,059356689453;457,053341674805;1,27104508598081;460,683990478516;3;1,10345834366068;10,4160621542872;20,1024945937065;5,9186352444791;NA;NA;NA;NA;1,00320297244366;36,5374473636898;4,20646643261793;10,7367056910329;15,663269942385;6,93420827009768;NA;NA;2086,82799722176;6801,26990029772;12535,0644977344;6402,13315603242;NA;NA;256,566876238846;556,505911025726
"3407";2313913;50101;441,656677246094;446,140914190383;1,74633856542634;449,580200195312;0;168,84167056241;28,4540964944397;6,62715819473268;2,89928340816399;68,0171743183058;20,4877220487964;NA;13,3952666678621;5,04036981973576;303,682001874975;53,98131173274;83,2937303126588;67,7916344377702;71,5026184423073;32,1530767692347;NA;26310,0293381426;53397,5326797598;50864,7252572827;65775,9133998229;33312,6366592658;NA;201,699369636338;437,449213970045
"3408";2313914;50101;423,651397705078;430,437344849565;1,14032734838881;433,025360107422;1;42,0965451324753;38,4126038117128;31,7384840669474;20,1100224011876;2,41233997349858;2,24652010106424;18,5492322501535;29,7056857452806;NA;185,27143348232;47,8307301331756;23,1814457370454;40,9644322466782;25,758542779843;41,3032078425687;6,23307474300918;21938,5245158391;14651,1652436786;31574,3824875029;22998,2345327538;43982,1632954868;7420,07773085023;200,907968034822;435,311596354539
"3409";2313919;50101;424,351409912109;434,056605200073;2,97437184579135;438,660095214844;23;28,2691630999267;96,2909845262516;27,2775397598429;34,0899080253227;35,43591340646;30,6366628326343;23,2284983175459;36,2162504968684;34,1144370326643;277,330483432188;92,4563765809808;53,4975583290939;27,0823125515829;30,9628051954123;25,8703418175595;81,575525990223;32875,068246645;32401,02909568;20719,7460750129;28620,6458591615;28298,9254272101;101726,093073633;227,082047558951;491,741724175562
"3410";2313920;50101;436,936096191406;443,042930528956;0,966445369664278;445,491607666016;3;131,786104591957;15,2995777540302;42,091109578943;9,83083977373375;88,4420005474987;12,9020409061915;10,5134578610338;2,79047054152812;7,03292486719143;306,622676687724;86,8868297830877;50,4103628800355;171,638973063422;4,71943582837006;NA;NA;33495,443151382;31824,9643666139;128152,363573432;4039,26348382125;NA;NA;175,899640678706;383,518513738348
"3411";2313921;50101;470,301696777344;474,540597182054;2,09034226612347;477,155578613281;0;22,4465086892961;65,8375901768701;3,10491404742865;46,8895873032151;11,8884100199393;40,3451317104172;7,26419698297413;37,6429739523647;12,0890422676741;223,330270614831;70,1232919717112;42,5070522680466;34,0331211943828;74,6812447395274;14,0746027088373;NA;19792,7952243462;26402,1660751734;26070,3006301095;67709,6019287683;15022,8624693603;NA;182,554587171393;397,430067507071
"3412";2313922;50101;439,476928710938;445,088015954471;1,91113019609955;447,004241943359;0;42,540701198002;65,5275416623099;49,2457910320564;69,9985914738257;19,1758557764794;22,6766769232643;17,1099530566569;17,503437095749;111,146671846243;192,631876372101;54,1344500170681;43,0000501296901;71,1569509452369;128,527311732528;6,95978539382065;NA;24440,4453996209;27040,8942527768;55370,7621909371;120058,639444595;7161,24916657552;NA;209,775949841624;454,508719329137
"3413";2313924;50101;431,142730712891;437,133978667553;0,881675183710816;439,528228759766;68;165,942638223995;69,7170634267392;116,014988527025;47,4198996767237;133,142997147761;46,2999136880174;128,990346450473;35,1263795085801;351,799552224111;390,854674425204;38,6570145056624;27,7929288940799;39,8928357441376;104,500097337509;375,859523176439;155,951826991487;15747,9986299009;17037,1722271137;31254,5946313163;98539,5403278744;413286,385165161;189034,993479492;236,626717667616;509,085314117044
"3414";2313925;50101;439,634094238281;441,512520188552;1,14137339104324;443,513946533203;0;1,20851611072647;6,89573426932228;30,1634325311602;7,0244241193261;1,00911889368849;10,2612445378073;25,49206384932;1,38863411859096;1,00911889368849;82,4340495362533;47,4741868300514;30,0468251441468;5,92215645574364;NA;NA;NA;20249,0269561679;18521,8205257924;4310,66715002564;NA;NA;NA;120,67191632759;265,117013119913
"3415";2313926;50101;429,270538330078;432,893429503149;1,64079070760182;435,693603515625;0;26,8491031636187;3,2376178823445;2,11148431789275;2,14046903090838;22,0154191039749;6,35425860512904;10,120175137585;6,48476867966901;7,03726940440748;72,2760265167148;52,3755844657936;6,31803032100722;7,04161372552744;8,86118561962764;4,71688178916638;NA;17019,1317488575;4003,31461516689;5473,65462204229;7887,21798430534;5051,96364570885;NA;146,287973848766;321,920674416987
"3416";2313927;50101;438,231262207031;439,637936062283;0,888389256615855;441,661712646484;0;2,10962391261829;2,58011831584308;25,9764401827365;3,68036897976178;5,06798256401506;3,5354411400403;32,9251014637879;1,07263199743372;4,01786282655738;72,9298457296793;48,952694289546;27,9950142666907;NA;NA;NA;NA;18338,9576822726;17380,2773361574;NA;NA;NA;NA;102,734141451779;226,788793767809
"3417";2313928;50101;445,826934814453;450,509358150858;1,30443954353082;453,551879882812;1;2,86053200046039;49,2023279792544;29,2432055292072;1,00084136840762;NA;19,5443934740254;5,91254540510922;8,88148662553146;3,01883680320723;113,626495578789;26,3011631181754;32,2575713382961;51,8254674890553;6,26113043646891;NA;NA;11942,1321888958;20748,6281700391;39748,2058844603;5579,24353196216;NA;NA;202,001123079272;439,539210002013
"3418";2313929;50101;446,691711425781;446,702261352539;0,00599908303210118;446,721313476562;1;6,00045789195636;2,00000858466591;7,0002311751809;5,00001955140604;12,0001343463107;15,0000823826251;10,0001710358168;3,00000689351967;60,0011118614815;NA;NA;NA;NA;60,0011118614815;NA;NA;NA;NA;NA;55682,7221700715;NA;NA;172,149837135092;371,218147800477
"3419";2313930;50101;437,917724609375;440,400054655463;1,21855563512704;442,903442382812;0;120,275338734054;18,8377150610969;1,00816622568259;13,8623294416712;88,7857342965862;15,2948990627755;4,05695321986357;17,0555272193289;11,0810896459359;268,095573615123;37,0132155315443;87,9504382395095;18,6996774681651;70,8324799870831;64,6808520347571;NA;17861,8089235136;55402,2026443399;14443,6024520495;67298,5249813768;68202,6002582618;NA;186,652662341146;403,997718116818
"3420";2313931;50101;429,660675048828;430,700942548733;0,154451908362752;431,0556640625;1;5,0375365893894;1,00047782615088;21,3766042655217;4,09825067062895;1,71224197863761;2,00833413165681;77,0182954334822;3,00548037353248;80,2362675099675;35,0209537590325;3,26889372627684;5,38247079570243;19,8185332055017;70,4874775452346;16,2998459962844;NA;1677,66543124586;3551,22571685224;16192,0399660731;66719,0324499617;16641,2644288511;NA;188,614014202127;406,917390264015
"3421";2313933;50101;428,823272705078;430,390429829442;0,394025356525011;431,388000488281;1;21,4676948368825;12,2591923147603;10,7545864035144;1,0389186094662;48,7467046943184;2,06009368210646;6,25378727895859;1,94981262101194;15,1399441148367;89,3908463261821;24,6376710372882;11,7858086931144;14,3540632997985;31,2513449686136;22,5019024422041;NA;10089,7329230079;7123,31562745356;11221,9629886371;29566,4679573078;23012,3117283311;NA;173,942042734246;376,808331277848
"3422";2313935;50101;428,913696289062;429,669500732422;1,1129919974413;434,154479980469;1;7,87492363305484;2,16095322992352;4,51017607198846;3,59861058513622;7,44256778999487;1,00001153948578;3,7986985117872;6,62394328603911;6,02759831759409;30,9822863298159;27,6475934009473;9,36229124646272;NA;NA;NA;NA;10399,3169235369;5719,41188191987;NA;NA;NA;NA;116,462022275605;257,899660887308
"3423";2313936;50101;434,025512695312;438,453374067942;1,2345434927193;441,845825195312;0;90,5085378899538;83,1794180722017;20,8583497282266;26,7154765148201;52,6748133148334;53,1600002475017;4,81052373566325;18,8154073950011;4,04235621167318;346,680170686529;93,4147645498907;67,4938134715276;31,6808266561463;13,4982206204349;25,5082670753619;119,12663452484;35263,8423548917;42720,8629514159;24005,3083749311;12150,973022588;27203,3790300755;148558,66095977;279,287105959905;603,964638945149
"3424";2313938;50101;435,567138671875;440,990239751907;1,19525621689797;448,980194091797;10;426,139079003137;51,9092335510539;402,280872479094;11,3540328536013;404,343090089406;29,2086646203682;175,72246818488;25,3755893099618;47,233275054347;1479,09975503715;66,4023200850874;67,465230631838;331,636588430728;132,950184147605;474,85657435726;453,022132438984;26297,0059109648;42824,2355236091;263067,854768837;124665,882303503;510414,234017266;595794,11275833;276,737732110631;595,452695345718
