"";"OBJECTID";"GEMEINDE_ID";"dom_min";"dom_mean";"dom_sd";"dom_max";"n_outliers";"a_total";"a_aspect_N";"a_aspect_NO";"a_aspect_O";"a_aspect_SO";"a_aspect_S";"a_aspect_SW";"a_aspect_W";"a_aspect_NW";"a_flat";"a_inclined";"a_nicht";"a_wenig_2020";"a_wenig_2040";"a_geeignet";"a_gut";"a_sehr_gut";"a_ausgezeichnet";"glo_total";"glo_flat";"glo_inclined";"ertrag_PV";"ertrag_ST"
"1494";2626385;"61760";371,716644287109;372,246655273438;0,282958961523491;372,588439941406;0;16,1664930122178;0;9,80394395712579;0;0;0;6,36254905509199;0;0;3,01556304891196;13,1509299633058;0;3,29897018298304;0;9,78335140365798;3,08417142557676;0;0;14607,5588828509;2984,46940383848;11623,0894790125;3360,95042091443;5013,41103715908
"1495";2626390;"61760";354,419555664062;355,341208140055;0,455909564353307;356,044494628906;0;58,5211176560387;0;21,750849748935;7,51095302012444;1,00240876432212;1,00060649078544;20,605206441479;5,42484989012262;1,22624330027016;4,01493007674248;54,5061875792963;0;0;0;16,7066794014737;20,4832395178346;20,2825063110932;1,04869242563717;63666,6079663482;5013,16506070309;58653,4429056451;15043,1824586726;22448,0511152628
"1496";2626414;"61760";383,422149658203;383,71479288737;0,181280163594254;384,289642333984;1;20,8686778547743;0;1,00163970426909;8,03307464288784;1,00869113268144;9,09393732949724;1,73133504543868;0;0;11,049419256401;9,81925859837334;0;0;0;0;1,00163970426909;13,0972088565872;6,76982929391799;26153,0776800161;13124,1757153938;13028,9019646223;6218,46388411607;9280,27990188608
"1497";2626418;"61760";382,729187011719;383,265177408854;0,176861215161607;383,621032714844;2;19,4842615909156;0;3,01367747259076;4,01063209179611;3,0529800079319;7,03721538429283;2,36975663430396;0;0;11,0388311115411;8,44543047937447;0;0;0;0;8,02905737100145;9,25701195393722;2,1981922659769;23376,7750027694;12525,812794599;10850,9622081704;5514,94878570177;8229,44933854823
"1498";2626421;"61760";382,913116455078;383,106791776769;0,157306713257591;383,518981933594;0;18,0670277106044;0;1,00298896503405;6,01626779540034;3,01633491739069;5,38121720270137;2,65021883007792;0;0;10,0355916778251;8,03143603277929;0;0;0;3,00608046298784;9,09078378670197;5,97016346091455;0;20136,5154598794;10414,6534965748;9721,86196330466;4716,57401753345;7037,38110156436
"1499";2626423;"61760";382,820037841797;382,95614188058;0,153936562899378;383,344116210938;0;15,4154916255114;0;1,00207785012266;4,01677648639424;1,00244836449473;5,73187825071958;0;3,66231067378014;0;8,04306134221446;7,37243028329689;0;3,66231067378014;0;7,05842785150385;3,51662384432902;1,17812925589834;0;14399,9822721774;7341,61621111331;7058,36606106407;3331,05750776975;4969,21329001914
"1500";2626466;"61760";374,987640380859;377,446831597222;1,41183480086407;380,127868652344;0;128,020117319465;0;1,13736680009185;3,19621649308998;53,6365980514703;6,04918528978127;5,99110301692634;5,58358253809885;52,426065130006;1,00486598288046;127,015251336584;0;45,2221902774866;0;5,3706857849823;4,8845086091366;43,8323454354922;28,7103872123669;139999,922312526;1302,30631381307;138697,615998713;33432,350313994;49896,670595291
"1501";2626525;"61760";387,60546875;389,656261790882;1,57259739636719;394,146575927734;4;68,0820227984983;0;2,33595448075008;1,7169952465126;0;0;14,2609615457247;29,8639617902723;19,9041497352387;0;68,0820227984983;11,2998171981205;17,9985726949134;9,93540376682156;12,7829759286617;10,354460845584;5,71079236439704;0;55603,0642284105;0;55603,0642284105;13090,7084754792;19533,4798104534
"1502";2626558;"61760";375,181732177734;376,504199688251;0,674972167262302;377,352172851562;0;34,278879398202;0;9,98615302596864;0;0;1,04175193319675;20,1136448704451;1,02780208770556;2,10952748088595;0;34,278879398202;3,95957347870321;2,23243068015527;3,79927255683177;10,7173082468026;11,2688919960225;2,30140243968674;0;30503,2950659664;0;30503,2950659664;7139,15296971588;10651,8771824683
"1503";2626590;"61760";359,003082275391;360,518718518709;0,826925435633502;361,683380126953;0;46,3726463748832;0;1,21155326361612;0;28,0447664330414;0;0;0;17,1163266782257;0;46,3726463748832;0;8,7587210444954;6,40671368060194;0;4,20286306276279;12,3840319352417;14,6203166517814;50652,6377883131;0;50652,6377883131;11972,5124155585;17865,9634028765
"1504";2626647;"61760";387,480987548828;388,626436869303;0,504341405101344;389,160400390625;0;15,268361544876;0;4,48307114240589;0;0;1,68373111443276;8,01044032500548;1,09111896303183;0;0;15,268361544876;1,29145923611164;1,12607418809116;0;1,04386709600929;1,0216706221938;2,1143466696931;8,67094373277697;17826,744353362;0;17826,744353362;4244,81301914193;6334,98273774751
"1505";2626650;"61760";395,220977783203;396,077689034598;0,542975871373139;397,508453369141;2;36,4642729609323;0;6,30493663934147;3,36567963880307;6,23888346720596;5,49290162022431;14,0508017986121;0;1,01106979674539;4,02650918727443;32,4377637736579;0;0;0;6,23485007276282;11,4465399693399;8,17826815271324;10,6046147661163;42423,1277824808;4574,82189306675;37848,3058894141;10114,2245800806;15094,793865669
"1506";2626688;"61760";382,978515625;384,336386460524;0,542385372662296;385,140930175781;0;61,3340207678795;0;3,21696308770582;7,12886925869992;26,3840864674891;1,34076813653949;3,51528311893793;4,40168501343736;15,3463656850699;4,0098441336641;57,3241766342154;0;2,55533370116803;0;10,7495634890442;7,81920557461065;23,59335131482;16,6165666882366;72809,7901807224;4992,76629909201;67817,0238816304;17269,2368317951;25771,2655834034
"1507";2626698;"61760";369,11962890625;370,197043457031;0,614011320265102;371,232269287109;0;34,1708447157913;0;3,61495302334768;6,26390812003667;19,0093010704107;5,28268250199616;0;0;0;0;34,1708447157913;0;1,31577739937916;0;2,51623210605246;5,03334962527127;18,5842486292633;6,72123695582509;41087,5332063632;0;41087,5332063632;9843,90591449244;14692,3813186085
"1508";2626712;"61760";359,202667236328;359,377693684896;0,0783297609727993;359,487518310547;0;15,5432600647295;0;2,03185088772547;2,41339708182746;0;0;7,0643808673831;4,03363122779347;0;10,0273923987594;5,51586766597009;0;0;0;0;1,03136351407223;14,5118965506573;0;19273,5561289357;12539,3261782264;6734,22995070935;4543,31412307231;6779,49099480217
"1509";2626713;"61760";355,426818847656;355,661363525391;0,11656720452897;355,819061279297;0;25,3534442297343;0;6,05324817965836;3,06106259308233;1,03688072119371;2,03532987928034;12,1486055512919;1,01831730522761;0;10,0548767040099;15,2985675257244;0;0;0;0;4,08770080954206;16,1530397534257;5,11270366676656;31473,0737882897;12491,7427942352;18981,3309940545;7407,60189795262;11053,3084288677
"1510";2626733;"61760";354,387115478516;355,290847114895;0,408277931268817;355,860961914062;0;26,0163601431505;0;6,59353137082916;4,28282586443957;0;1,63269021870264;6,68946001355075;5,70387048464669;1,11398219098168;1,00972246893149;25,006637674219;0;0;0;3,4023971404987;7,90530645280638;11,9392719865368;2,7693845633086;29740,8759713563;1213,88835214944;28526,9876192069;7014,0769711417;10466,4115551584
"1511";2626765;"61760";378,551300048828;380,130050287014;0,709327872144283;381,168823242188;0;56,3836259477044;0;2,48346972417049;4,22798519867234;11,6571798988222;7,63629809105895;5,87420723798429;5,76210617690336;18,7423796200928;2,0081934989486;54,3754324487558;0;5,84529236549936;2,06388500661379;9,99645302265008;8,20823289269308;15,066149059474;15,2036136007741;64064,6895295735;2545,94784171982;61518,7416878537;15303,0053267939;22839,3149869436
